Game,Box Number,Order number,Money Prize,Offer,Decision,Switch
1,14,1,100000,,,
1,14,2,5000,,,
1,14,3,250000,,,
1,14,4,1000,,,
1,14,5,1,500,No Deal,No
1,14,6,750,,,
1,14,7,10,,,
1,14,8,20000,1500,No Deal,No
1,14,9,35000,,,
1,14,10,0.5,,,
1,14,11,15000,2500,No Deal,No
1,14,12,500,,,
1,14,13,250,,,
1,14,14,100,2000,No Deal,No
1,14,15,5,,,
1,14,16,0.1,,,
1,14,17,75000,3500,No Deal,No
1,14,18,50000,,,
1,14,19,3000,,,
1,14,20,50,4200,No Deal,Yes
1,14,21,0.01,,,
1,14,22,10000,,,
2,5,1,500,,,
2,5,2,0.5,,,
2,5,3,100000,,,
2,5,4,3000,,,
2,5,5,5000,1000,No Deal,No
2,5,6,250000,,,
2,5,7,1,,,
2,5,8,10,3000,No Deal,No
2,5,9,100,,,
2,5,10,15000,,,
2,5,11,750,1100,No Deal,No
2,5,12,10000,,,
2,5,13,50000,,,
2,5,14,75000,8000,No Deal,No
2,5,15,20000,,,
2,5,16,250,,,
2,5,17,0.1,6500,No Deal,No
2,5,18,5,,,
2,5,19,50,,,
2,5,20,35000,4000,Deal,No
2,5,21,750,,,
2,5,22,0.01,,,
3,1,750,,,,
3,1,2,1,,,
3,1,3,5000,,,
3,1,4,10,,,
3,1,5,250000,2000,No Deal,No
3,1,6,0.5,,,
3,1,7,500,,,
3,1,8,100000,1500,No Deal,No
3,1,9,15000,,,
3,1,10,100,,,
3,1,11,10000,3000,No Deal,No
3,1,12,0.1,,,
3,1,13,0.01,,,
3,1,14,50,2500,No Deal,Yes
3,1,15,35000,,,
3,1,16,50000,,,
3,1,17,75000,5500,No Deal,Yes
3,1,18,20000,,,
3,1,19,3000,,,
3,1,20,250,4500,Deal,Yes
3,1,21,5,,,
3,1,22,7500,,,
4,18,1,35000,,,
4,18,2,1000,,,
4,18,3,50000,,,
4,18,4,5,,,
4,18,5,0.1,3000,No Deal,No
4,18,6,250,,,
4,18,7,5000,,,
4,18,8,100,2800,No Deal,No
4,18,9,0.01,,,
4,18,10,15000,,,
4,18,11,500,4500,No Deal,No 
4,18,12,75000,,,
4,18,13,100,,,
4,18,14,0.5,3000,No Deal,No
4,18,15,10,,,
4,18,16,100000,,,
4,18,17,750,5000,No Deal,No
4,18,18,250000,,,
4,18,19,1,,,
4,18,20,3000,9000,Deal,No
4,18,21,50,,,
4,18,22,20000,,,
5,7,1,50000,,,
5,7,2,750,,,
5,7,3,1,,,
5,7,4,5000,,,
5,7,5,0.1,3200,No Deal,No
5,7,6,1000,,,
5,7,7,5,,,
5,7,8,35000,2900,No Deal,No
5,7,9,0.01,,,
5,7,10,500,,,
5,7,11,250000,4000,No Deal,No
5,7,12,10,,,
5,7,13,7500,,,
5,7,14,100,5000,No Deal,Yes
5,7,15,15000,,,
5,7,16,50,,,
5,7,17,20000,3500,No Deal,No
5,7,18,0.5,,,
5,7,19,100000,,,
5,7,20,3000,6000,Deal,Yes
5,7,21,75000,,,
5,7,22,250,,,
6,12,1,0.5,,,
6,12,2,15000,,,
6,12,3,50000,,,
6,12,4,5,,,
6,12,5,1000,2700,No Deal,No
6,12,6,500,,,
6,12,7,750,,,
6,12,8,20000,3100,No Deal,Yes
6,12,9,75000,,,
6,12,10,1,,,
6,12,11,250,4300,No Deal,No
6,12,12,0.1,,,
6,12,13,10,,,
6,12,14,100000,7200,No Deal,Yes
6,12,15,100,,,
6,12,16,50,,,
6,12,17,3000,6000,Deal,Yes
6,12,18,250000,,,
6,12,19,5000,,,
6,12,20,7500,7500,Deal,Yes
6,12,21,35000,,,
6,12,22,0.01,,,
7,10,1,75000,,,
7,10,2,10,,,
7,10,3,50,,,
7,10,4,500,,,
7,10,5,100,3500,No Deal,No
7,10,6,50000,,,
7,10,7,15000,,,
7,10,8,1000,2000,No Deal,No
7,10,9,7500,,,
7,10,10,20000,,,
7,10,11,0.1,2500,No Deal,Yes
7,10,12,5,,,
7,10,13,100000,,,
7,10,14,3000,5000,No Deal,No
7,10,15,0.5,,,
7,10,16,1,,,
7,10,17,100,4800,No Deal,No
7,10,18,250000,,,
7,10,19,250,,,
7,10,20,750,7000,Deal,Yes
7,10,21,5000,,,
7,10,22,0.01,,,
8,15,1,0.01,,,
8,15,2,250,,,
8,15,3,5000,,,
8,15,4,1000,,,
8,15,5,10,2800,No Deal,No
8,15,6,0.1,,,
8,15,7,100000,,,
8,15,8,15000,2500,No Deal,No
8,15,9,75000,,,
8,15,10,750,,,
8,15,11,50,3300,No Deal,Yes
8,15,12,35000,,,
8,15,13,20000,,,
8,15,14,1,4500,No Deal,No
8,15,15,500,,,
8,15,16,0.5,,,
8,15,17,3000,6500,Deal,Yes
8,15,18,250000,,,
8,15,19,5,,,
8,15,20,100,7200,Deal,Yes
8,15,21,10000,,,
